iter	Passed	Remaining
0	1	132
1	3	153
2	4	143
3	6	156
4	8	167
5	11	178
6	13	180
7	15	183
8	17	178
9	19	175
10	21	177
11	24	179
12	27	181
13	29	182
14	32	182
15	34	182
16	36	177
17	37	171
18	39	170
19	41	166
20	43	163
21	45	162
22	47	159
23	50	160
24	53	160
25	55	158
26	57	154
27	59	153
28	61	150
29	62	146
30	65	145
31	66	141
32	68	139
33	70	136
34	72	133
35	73	130
36	74	126
37	76	124
38	78	122
39	79	119
40	81	116
41	83	115
42	85	112
43	86	110
44	89	108
45	90	106
46	92	104
47	94	102
48	96	100
49	98	98
50	100	96
51	102	94
52	103	92
53	105	89
54	107	87
55	109	86
56	111	84
57	113	82
58	115	80
59	117	78
60	119	76
61	121	74
62	123	72
63	125	70
64	127	68
65	129	66
66	131	64
67	134	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	147	51
74	149	49
75	151	47
76	153	45
77	155	43
78	158	42
79	161	40
80	164	38
81	167	36
82	170	34
83	172	32
84	173	30
85	176	28
86	178	26
87	180	24
88	183	22
89	185	20
90	186	18
91	189	16
92	191	14
93	193	12
94	196	10
95	197	8
96	199	6
97	202	4
98	204	2
99	206	0
