iter	Passed	Remaining
0	140	140411
1	143	71663
2	146	48763
3	151	37642
4	154	30676
5	157	26071
6	160	22765
7	163	20259
8	167	18440
9	170	16888
10	174	15645
11	177	14623
12	180	13740
13	183	12933
14	186	12217
15	188	11606
16	191	11086
17	194	10603
18	196	10165
19	199	9752
20	201	9393
21	203	9042
22	205	8710
23	207	8423
24	209	8156
25	211	7904
26	213	7686
27	214	7461
28	216	7243
29	217	7043
30	219	6869
31	221	6688
32	222	6517
33	223	6360
34	225	6218
35	227	6078
36	228	5945
37	229	5817
38	231	5697
39	232	5579
40	233	5468
41	234	5356
42	236	5259
43	237	5168
44	239	5073
45	240	4977
46	241	4888
47	242	4804
48	243	4730
49	244	4654
50	246	4580
51	247	4507
52	248	4438
53	249	4371
54	250	4304
55	251	4241
56	252	4178
57	253	4114
58	254	4052
59	255	3998
60	256	3942
61	257	3889
62	257	3835
63	258	3782
64	259	3732
65	260	3683
66	261	3637
67	262	3596
68	263	3551
69	263	3506
70	264	3464
71	265	3422
72	266	3382
73	267	3344
74	268	3309
75	269	3273
76	270	3236
77	271	3203
78	272	3171
79	272	3137
80	273	3105
81	274	3076
82	275	3041
83	276	3010
84	277	2981
85	277	2952
86	278	2923
87	279	2896
88	280	2872
89	281	2846
90	282	2820
91	283	2795
92	284	2771
93	285	2747
94	285	2723
95	287	2703
96	287	2680
97	288	2658
98	289	2635
99	290	2614
100	291	2592
101	292	2571
102	293	2554
103	294	2534
104	295	2514
105	295	2494
106	296	2475
107	297	2456
108	298	2439
109	299	2425
110	300	2409
111	301	2392
112	302	2376
113	303	2361
114	304	2345
115	305	2331
116	306	2315
117	307	2299
118	308	2284
119	309	2268
120	310	2253
121	310	2237
122	311	2224
123	313	2211
124	313	2196
125	314	2183
126	315	2168
127	316	2154
128	317	2141
129	318	2128
130	319	2116
131	319	2103
132	320	2090
133	321	2077
134	322	2065
135	323	2052
136	323	2040
137	324	2029
138	325	2017
139	326	2005
140	327	1995
141	328	1982
142	328	1971
143	329	1959
144	330	1949
145	331	1939
146	332	1930
147	333	1920
